Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,100,3404.4249,0.5438,162.385,0.0259,6320,6258,0,3,0,59,0,520,520,2295,2294,3505,3444,10641.0,3042.0,10641.0,2761.109999999968,0.0,0.0,108.73546635265124,6.8325,1.8346,18.0224,6.7293,0.884,0.0087,0.0628,0.0628,0.1573,0.1573,0.6639,0.0066,0,33.7234,99.9647,-1.0,[99.9652874074074- 99.91858097777778- 99.97095472592594- 99.99098986666667- 99.97863075555556- 99.93296527407408- 99.94769054814815- 99.9800045037037- 99.84624041481482- 99.9400448- 99.9412599111111- 99.9800568888889- 99.90256586666668- 99.97095158518518- 99.88254773333334- 99.89264242962963- 99.93411597037037- 99.97542684444444- 99.96795757037037- 99.92751407407407- 99.91301896296297- 99.88345765925926- 99.9380944- 99.94014044444445- 99.93997256296296- 99.8920004148148- 99.97957202962964- 99.99142257777777- 99.92711958518518- 99.98189890370371- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,200,5735.0847,0.5783,461.0497,0.0465,10070,9896,0,21,0,153,0,1670,1670,2657,2650,5743,5576,28166.0,15525.0,28166.0,4327.200000000297,0.0,0.0,117.2952725116397,5.7517,4.378,20.5924,5.6394,1.4188,0.007,0.1209,0.1209,0.1921,0.1921,1.1058,0.0055,0,33.7241,99.9686,-1.0,[99.97664942222222- 99.89117279999999- 99.99488918518519- 99.99453226666665- 99.86180853333335- 99.86220124444444- 99.93034062222222- 99.93783988148148- 99.93952- 99.93500681481481- 99.9931179851852- 99.95154690370371- 99.99583045925925- 99.92156740740742- 99.97266198518517- 99.93867217777778- 99.98657013333333- 99.97979419259259- 99.94642340740742- 99.93156995555556- 99.95411093333334- 99.99084983703702- 99.99018334814815- 99.98251851851852- 99.9863648- 99.85194731851851- 99.98130797037037- 99.95122797037035- 99.92482228148148- 99.95520444444443- 99.84130032592593- 99.94778453333333- 99.90827905185186- 99.93617185185185- 99.92551934814816- 99.92343792592594- 99.95805048888889- 99.98776882962962- 99.96983182222222- 99.98611395555555- 99.91605161481482- 99.95749084444445- 99.85287300740741- 99.99731555555556- 99.96838370370372- 99.87362121481482- 99.92792634074074- 99.98220871111111- 99.97620468148148- 99.9280993185185- 99.98219685925926- 99.99669594074075- 99.89229037037036- 99.93547442962962- 99.98371271111112- 99.9742634074074- 99.9301601185185- 99.9599924148148- 99.9879506962963- 99.93800871111112- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,300,10050.5802,0.5938,1051.627,0.0621,17320,16871,0,56,0,393,0,2220,2220,4597,4571,10503,10080,86810.0,62441.0,86810.0,6795.030000002827,0.0,0.0,120.66747116488865,6.4538,5.4583,27.865,6.3404,2.3493,0.0078,0.1675,0.1675,0.1708,0.1708,2.0109,0.0067,0,33.7218,99.9564,-1.0,[99.92976717037035- 99.90970068148148- 99.77929931851853- 99.91196776296296- 99.9421175111111- 99.87262992592593- 99.90720154074074- 99.9084341925926- 99.93962666666667- 99.89403134814815- 99.88706672592593- 99.90531377777778- 99.94235573333333- 99.8641869037037- 99.91682962962962- 99.9379536- 99.97400112592594- 99.9668245925926- 99.93373262222222- 99.97971840000001- 99.91243851851851- 99.95110228148148- 99.81406577777778- 99.98775697777778- 99.9040517925926- 99.90738879999999- 99.92357285925925- 99.92343063703703- 99.82429392592593- 99.8715463111111- 99.91887223703704- 99.90509671111111- 99.96598601481482- 99.89625167407407- 99.90836183703703- 99.91635768888888- 99.86646962962963- 99.8864418962963- 99.93325214814814- 99.96900823703703- 99.97671294814815- 99.9505050074074- 99.91649706666666- 99.93059650370371- 99.91965451851853- 99.99605262222222- 99.87642441481482- 99.99126441481481- 99.92015034074075- 99.95643928888889- 99.98325457777777- 99.93157120000001- 99.86522583703703- 99.83020077037037- 99.97473143703705- 99.97956017777778- 99.96339839999999- 99.9741405037037- 99.87679134814816- 99.89704728888888- 99.98402085925926- 99.9476778074074- 99.98960426666667- 99.90087259259259- 99.82126222222223- 99.95031508148148- 99.93094903703702- 99.99584231111112- 99.97470773333333- 99.94086174814815- 99.97667241481481- 99.9843253925926- 99.9227866074074- 99.95440397037038- 99.97598263703703- 99.89408965925927- 99.94980622222222- 99.97845546666667- 99.90554702222222- 99.92376924444444- 99.93258174814815- 99.99731555555556- 99.97735626666667- 99.97764237037036- 99.95162980740741- 99.97846731851853- 99.8293741037037- 99.89443271111111- 99.879456- 99.93955359999998- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,100,1042.4203,0.1793,672.1233,0.1156,6470,5813,0,657,0,0,0,3570,2913,2900,2900,0,0,40333.0,31588.0,40333.0,2572.199999999864,0.0,0.0,12.759404346752705,0.4383,5.5935,21.584,0,0.577,0.0057,0.1482,0.1482,0.1176,0.1176,0.3112,0.0031,0,33.7275,99.9864,-1.0,[99.99284148148148- 99.98251851851852- 99.90500740740741- 99.99731555555556- 99.99731555555556- 99.99284148148148- 99.99284148148148- 99.90554074074073- 99.99731555555556- 99.90565925925927- 99.99284148148148- 99.99731555555556- 99.99731555555556- 99.90542222222223- 99.99731555555556- 99.99731555555556- 99.99284148148148- 99.99284148148148- 99.99284148148148- 99.98251851851852- 99.98251851851852- 99.99731555555556- 99.98251851851852- 99.99284148148148- 99.90708148148148- 99.99731555555556- 99.99731555555556- 99.98251851851852- 99.98251851851852- 99.98251851851852- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,200,3219.7931,0.3004,680.7868,0.0635,11550,10657,0,869,0,24,0,3243,2425,7380,7329,927,903,150819.0,127947.0,150819.0,6425.2900000020145,0.0,0.0,28.472195449862333,1.7952,5.0906,55.875,1.3171,1.5937,0.0079,0.1797,0.1797,0.454,0.454,0.96,0.0048,0,33.7262,99.9796,-1.0,[99.98251851851852- 99.90359703703703- 99.90342518518517- 99.99284148148148- 99.98251851851852- 99.90354370370372- 99.9035851851852- 99.98251851851852- 99.99732207407408- 99.99292942222222- 99.98251851851852- 99.9928903111111- 99.98251851851852- 99.99732266666666- 99.99288130370371- 99.98251851851852- 99.99284148148148- 99.90364444444445- 99.90364444444445- 99.9043437037037- 99.9037037037037- 99.90376296296296- 99.99731555555556- 99.98251851851852- 99.99286589629631- 99.98254814814815- 99.99284148148148- 99.90401777777778- 99.99288604444445- 99.98254814814815- 99.99284148148148- 99.99286684444445- 99.9973754074074- 99.98251851851852- 99.9928817777778- 99.9827851851852- 99.90417185185186- 99.9042962962963- 99.99731555555556- 99.90399407407408- 99.99731614814816- 99.98284444444444- 99.99731555555556- 99.90423703703703- 99.99731555555556- 99.98251851851852- 99.90494222222222- 99.99288936296296- 99.98251851851852- 99.9973754074074- 99.99737599999999- 99.99284148148148- 99.90489481481482- 99.98263703703705- 99.99286637037036- 99.9827851851852- 99.99731555555556- 99.99731555555556- 99.90465185185187- 99.99731555555556- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,300,7135.1761,0.3973,1087.4798,0.0606,19180,17670,0,1429,0,81,0,3535,2452,10656,10326,4989,4892,268602.0,225218.0,268602.0,10386.900000005515,0.0,0.0,71.99614733849626,3.5705,5.0063,73.1442,3.176,3.1707,0.0105,0.1954,0.1954,0.5992,0.5992,2.3762,0.0079,0,33.7243,99.9795,-1.0,[99.98287407407409- 99.99292373333333- 99.99286565925927- 99.99287158518518- 99.99732148148148- 99.99731555555556- 99.99732325925928- 99.98254814814815- 99.98251851851852- 99.99287727407406- 99.98263703703705- 99.99744355555555- 99.98251851851852- 99.99293274074074- 99.99286708148149- 99.98251851851852- 99.99297303703703- 99.90460444444444- 99.99732385185185- 99.99290074074075- 99.98254814814815- 99.90419555555555- 99.98254814814815- 99.99295407407408- 99.99286637037036- 99.9042548148148- 99.98275555555554- 99.99732325925928- 99.90389925925926- 99.98275555555554- 99.99731614814816- 99.9826962962963- 99.90382222222222- 99.98272592592593- 99.99731614814816- 99.99295122962963- 99.99291472592594- 99.99288580740742- 99.99732444444443- 99.99286613333334- 99.99290097777778- 99.99291638518517- 99.90416592592592- 99.99732266666666- 99.98296296296297- 99.99732207407408- 99.9826962962963- 99.9827851851852- 99.9827851851852- 99.98317037037037- 99.98257777777778- 99.99296900740741- 99.90400592592592- 99.99731555555556- 99.99731555555556- 99.99287039999999- 99.99732325925928- 99.98281481481482- 99.99287917037037- 99.98266666666666- 99.9826074074074- 99.99292468148148- 99.98293333333334- 99.9044088888889- 99.99290026666667- 99.90513185185186- 99.90416592592592- 99.99732207407408- 99.99731614814816- 99.99289125925925- 99.99288272592592- 99.90405925925926- 99.98275555555554- 99.9827851851852- 99.9973208888889- 99.9826962962963- 99.99291117037036- 99.90488296296294- 99.99298536296295- 99.90480000000001- 99.99286637037036- 99.9048474074074- 99.9973765925926- 99.9826074074074- 99.90469925925926- 99.98281481481482- 99.99732385185185- 99.90401777777778- 99.90418962962963- 99.99732503703704- 99.98797166504906- 99.98371958014306- 99.97678609942845- 99.95849774434738- 99.98991781695963- 99.99765093101837- 99.99814627592653- 100.0- 99.96812120313456- 99.99834694812897- 99.99494500161761- 99.98992311909127- 99.97732471512276- 99.97817480858407- 99.99833791653187- 99.99182078795067- 99.9713118731802- 99.9889235324778- 99.99808718861209- 99.97740995362882- 99.98283322549337- 99.98905482763578- 99.99299399690858- 100.0- 99.99976046047665- 99.98647291419533- 99.99970928142636- 99.98875381933212- 99.98743318415472- 99.99596606635752- 99.99999604586793- 99.99999604586793- 99.99260523383299- 99.99545095078902- 99.97571560803766- 99.99673680757756- 99.96066312592113- 99.9976441460872- 99.98472226715553- 99.99976046047665- 99.99952487508537- 99.99745654948057- 100.0- 99.96533798842516- 99.96454478054568- 99.9935674359251- 99.99060754340559- 99.96002129839319- 99.99858648765232- 99.97216942557245- 99.95908030482764- 99.96336177612422- 99.99744630468385- 99.99602205327294- 100.0- 99.99805303928969- 99.98232714152198- 99.9620692692045- 99.99952882921745- 99.9995057334915],[]
