Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,ROUND_ROBIN,100,958.8815,0.5601,264.2,0.1543,7000,1550,0,280,0,5170,0,1408,1196,352,297,5240,57,5063.397333333261,2550.2546666666626,5063.397333333261,27062.79999999838,0.0,0.0,198.5833206534242,0.7431,5.8385,7.2288,0.5501,6.2548,0.0613,0.5071,0.5071,0.1255,0.1255,5.6222,0.0562,0,33.6602,99.6737,-1.0,[98.8165831111111- 98.83839407407407- 99.74199703703704- 99.75184296296295- 99.64310992592591- 99.7320071111111- 98.93410133333333- 99.78604088888888- 99.77990518518517- 99.74635614814815- 99.76981807407407- 99.73490548148149- 99.78260918518518- 99.82855585185185- 99.68195496296296- 99.69039762962963- 99.84199525925925- 99.79152296296296- 98.81864237037037- 98.89431111111111- 98.93398518518518- 99.72513896296297- 98.9518814814815- 98.88618666666667- 99.69356622222222- 99.76108029629629- 99.83688651851851- 99.80513777777779- 99.69511466666667- 98.94450370370372- 99.94160735468564- 99.94496836694347- 99.94010613249937- 99.9489422696718- 99.936279161724- 99.93992684855674- 99.95337089758797- 99.93992684855674- 99.93707717746864- 99.95258995650455- 99.93964017398181- 99.91319062511234- 99.96349347568209- 99.94709730759553- 99.92841043890867- 99.93304036809374- 99.95365757216291- 99.93431198102016- 99.93964017398181- 99.95902530644524],[]
ALL,ROUND_ROBIN,200,2002.9759,0.9814,306.42,0.1501,14000,1825,0,306,0,11869,0,1600,1349,400,362,12000,114,11506.02666666777,5432.777333333333,11506.02666666777,57927.05000000454,0.0,0.0,233.71450863173413,1.5186,7.1011,11.0767,1.3925,13.9454,0.069,0.6355,0.6355,0.2044,0.2044,13.1055,0.0655,0,33.6509,99.6386,-1.0,[99.80583703703702- 99.58081777777778- 99.68002962962962- 99.7654714074074- 99.08685807407407- 99.59701333333334- 99.73489955555556- 98.56501037037037- 99.83709688888888- 99.72026666666666- 99.83258548148149- 99.675328- 99.75073837037039- 99.18992592592593- 99.27757037037037- 99.70581925925924- 99.7514074074074- 99.67179259259258- 99.90376711111111- 99.69608888888888- 99.72742755555555- 99.74676148148149- 99.86918874074073- 98.93380740740741- 99.83608296296296- 99.7607525925926- 98.76127407407408- 98.77793185185186- 99.69290192592592- 99.62597333333333- 99.85131259259259- 99.12814814814816- 98.70933333333333- 98.59920592592593- 99.86464592592593- 99.76970192592593- 99.15660562962962- 99.64785185185185- 98.68554666666667- 99.7560882962963- 98.98891851851852- 99.57370014814815- 99.6004877037037- 99.51987259259258- 99.10074074074075- 99.01137777777778- 99.7511111111111- 99.71513481481482- 99.75093333333334- 98.7624948148148- 99.69060740740741- 99.50760592592593- 98.91801481481481- 99.8961125925926- 99.11721481481482- 98.90764444444444- 99.83210725925926- 98.66454399999999- 99.84129777777777- 99.00948148148149- 99.88360473057982- 99.89367024335884- 99.92381376037959- 99.90803677342824- 99.95709766706209- 99.88622973507314- 99.92266706207987- 99.94910043495453- 99.92598853301702- 99.88508303677342- 99.93799920917358- 99.92020561486754- 99.94385491929975- 99.91092059383874- 99.91311783313562- 99.94512653222618- 99.91397785686041- 99.92639383155398- 99.96311783313563- 99.91565836298932- 99.96762554369316- 99.94594701463029- 99.88750494266509- 99.94078687228154- 99.92627520759194- 99.9373368920522- 99.9170521945433- 99.91397785686041- 99.98754448398576- 99.88361012257809- 99.91569790431001- 99.91340450771055- 99.94197311190193- 99.93200869909056- 99.92848952155002- 99.8800810597074- 99.97984381178331- 99.92398181099249- 99.92398181099249- 99.90104514899888],[]
ALL,ROUND_ROBIN,300,1758.7952,0.8027,334.4605,0.1527,21000,2018,0,283,0,18699,0,1680,1490,420,371,18900,157,19987.664000003257,10020.71866666669,19987.664000003257,88374.40000001315,0.0,0.0,247.59348564070837,0.784,8.0443,10.4318,0.69,20.7696,0.0688,0.7284,0.7284,0.1901,0.1901,19.8511,0.0662,0,33.6425,99.6071,-1.0,[99.00832296296296- 99.77874962962963- 99.1109037037037- 98.99266548148148- 99.72728059259259- 99.10365748148148- 99.6400711111111- 99.77303288888888- 99.62996148148147- 99.65135407407406- 99.03805748148147- 99.78808059259258- 99.03524266666668- 99.64625955555556- 99.60894814814814- 98.98481125925925- 98.98980444444445- 98.96107377777777- 99.6234388148148- 98.94677925925926- 99.7707928888889- 99.59119585185185- 99.65801777777779- 99.72854340740741- 98.92013155555556- 99.69850844444446- 99.64091437037037- 99.75326340740739- 98.91422992592594- 99.63334044444444- 99.62298962962963- 99.78234607407408- 98.97498666666667- 99.61099022222221- 99.66613688888889- 99.66515555555556- 98.95645511111111- 99.69553185185185- 98.92899851851851- 99.68729185185185- 99.72666074074074- 99.76883496296296- 99.76954844444444- 99.41877096296297- 98.92813155555557- 99.66320118518519- 99.7363917037037- 99.77614933333334- 98.94844148148147- 99.7185677037037- 99.6399188148148- 99.63113362962963- 99.02936- 99.11602962962962- 99.63367703703705- 99.04877037037038- 99.6455834074074- 99.05442666666666- 99.03481481481481- 99.02586666666667- 99.0450477037037- 99.69223881481481- 99.67130311111111- 98.94853037037036- 99.63094814814815- 99.66769659259259- 99.74337125925926- 99.66038874074073- 98.99365333333333- 99.75088237037038- 99.67651081481482- 99.6733997037037- 99.03507851851852- 99.07247407407408- 99.74560948148148- 99.08002962962962- 99.57783585185184- 99.68715851851852- 98.97842666666666- 99.65987911111112- 99.7528794074074- 98.992912- 99.03290192592591- 99.04865185185184- 99.04598518518519- 99.10225185185186- 99.59715496296296- 99.08136296296296- 98.99383111111112- 99.69561481481482- 99.92823250296559- 99.92507908264136- 99.92343811783313- 99.92329073654696- 99.9189304072756- 99.90849823861389- 99.91700276789244- 99.90661058988461- 99.91866080736187- 99.92058799741184- 99.926512455516- 99.91415309680434- 99.92806804701821- 99.92991300909452- 99.89840486717712- 99.90814910672562- 99.91052787663108- 99.92290431000396- 99.9214709371293- 99.91976751500773- 99.9312672993278- 99.92235118084761- 99.93409450375643- 99.91839659944642- 99.92007710557533- 99.84730400086274- 99.85907293576334- 99.91054495129228- 99.91052787663108- 99.89028901110751- 99.92679913009096- 99.92622578094108- 99.92626532226176- 99.92401146698299- 99.91550693770445- 99.90177621409826- 99.90792488946404- 99.8298527984471- 99.91528272044286- 99.90771774686367- 99.93016014234874- 99.87001060426329- 99.92487149070779- 99.91355683166182- 99.92401146698299- 99.8326512455516- 99.91163503361012- 99.85599320608218- 99.91220568676084- 99.92036378015027- 99.91554692835832- 99.9189304072756- 99.88918185412848- 99.85009166397066- 99.91585606959273- 99.90405298536972- 99.91024120205616- 99.91292102519861- 99.85316600165353- 99.91614274416767],[]
EDGE_AND_CLOUD,ROUND_ROBIN,100,1377.6006,0.7823,268,0.1522,7000,1619,0,229,0,5152,0,1408,1225,352,310,5240,84,6892.142666666652,3280.505333333328,6892.142666666652,36523.1499999992,0.0,0.0,197.93639172015833,1.2768,7.2068,8.6477,1.0552,8.7165,0.0855,0.6593,0.6593,0.1576,0.1576,7.8995,0.079,0,33.6391,99.5904,-1.0,[98.90367407407406- 98.78568296296295- 99.72815822222223- 99.66442192592592- 98.68775407407406- 99.76209955555555- 99.60843674074076- 99.77972444444445- 99.76571259259259- 99.78236622222222- 99.7839834074074- 98.84224829629629- 99.73281244444445- 98.76813925925924- 99.59248474074074- 98.78885333333334- 99.68139140740742- 99.77940325925925- 98.77021333333333- 99.66257125925927- 99.78905244444445- 98.60550992592592- 99.7345605925926- 98.90433955555555- 98.79341925925925- 98.88797037037037- 99.71534814814815- 99.77634133333333- 99.65130844444445- 99.6773677037037- 99.9324238829577- 99.92090747330961- 99.91697311190194- 99.81007854344153- 99.90822189870232- 99.91652198137963- 99.90624393400194- 99.92455516014235- 99.92896087206586- 99.80901092778316- 99.94168643732701- 99.929883353104- 99.90771055753262- 99.92676947410044- 99.9256227758007- 99.92283511269277- 99.86551277903591- 99.90177576476509- 99.89277741831123- 99.92762949782522],[]
EDGE_AND_CLOUD,ROUND_ROBIN,200,1828.5974,0.8842,307.6801,0.1488,14000,1881,0,265,0,11854,0,1600,1384,400,373,12000,124,12254.412000001452,5764.7466666666505,12254.412000001452,56460.60000000455,0.0,0.0,233.68842612259797,1.2329,7.3517,9.9851,1.109,13.5859,0.0673,0.6729,0.6729,0.1852,0.1852,12.7279,0.0636,0,33.6583,99.681,-1.0,[99.71288414814815- 99.05143703703703- 99.78106014814814- 99.0018074074074- 99.75376- 98.97167407407407- 99.69623703703702- 99.74887644444445- 99.55873481481481- 99.73694162962963- 98.96583703703703- 99.83336296296297- 99.61182814814815- 99.83975762962964- 98.7618725925926- 98.5219911111111- 99.16918518518519- 99.69525925925926- 99.79358755555556- 99.82417125925924- 99.83468444444443- 99.85306666666666- 99.68272592592592- 99.66110103703704- 99.72756740740742- 99.6477511111111- 99.6968474074074- 99.74493274074074- 99.7167597037037- 98.47961481481481- 99.72010666666668- 99.63888592592593- 99.653392- 99.71592592592593- 99.74533155555555- 99.71102222222221- 99.90567703703704- 99.65733748148148- 99.76023703703703- 99.19117037037036- 99.28746666666666- 99.64913777777777- 99.81018785185185- 99.78881185185185- 99.79298548148148- 98.88342103703702- 98.78156740740741- 99.64750992592593- 99.09404444444445- 99.72435555555556- 99.75897481481482- 98.86277866666667- 99.00484325925926- 99.10180740740739- 99.59360237037038- 99.65165155555555- 99.76526814814815- 99.87363733333333- 99.67882074074073- 99.73942044444443- 99.91709173586398- 99.93139580862001- 99.9428726769474- 99.91525935511702- 99.92996243574535- 99.92566231712141- 99.9285290628707- 99.95767101621195- 99.91369118228548- 99.89401937524714- 99.93676354290233- 99.95106761565836- 99.90303479636219- 99.93496441281138- 99.91217872676947- 99.9371391854488- 99.92484183471728- 99.92024515618822- 99.91901937524713- 99.95967773823645- 99.94127125345986- 99.92488137603796- 99.93032819296164- 99.94684657967576- 99.96905891656782- 99.95336101225782- 99.90914393040728- 99.89397983392645- 99.62183399834646- 99.92881573744563- 99.92081850533808- 99.92841043890867- 99.97709568999603- 99.89115262949782- 99.93447014630287- 99.9504942665085- 99.93715041877854- 99.93241309896115- 99.86799130090945- 99.92139185448794],[]
EDGE_AND_CLOUD,ROUND_ROBIN,300,1593.9562,0.7393,333.3905,0.1546,21000,1967,0,290,0,18743,0,1680,1468,420,367,18900,132,19165.71066666974,9558.430666666673,19165.71066666974,88381.90000001341,0.0,0.0,247.35089447343873,0.6284,7.6676,9.9545,0.5375,20.4815,0.0678,0.69,0.69,0.1803,0.1803,19.6112,0.0654,0,33.6496,99.6415,-1.0,[99.66660148148148- 99.79207762962963- 99.72742933333332- 99.0390328888889- 99.71959111111111- 99.66250785185184- 99.07502222222223- 98.98903407407407- 99.6452871111111- 98.99706666666667- 99.74027081481482- 99.71182400000001- 99.75580444444444- 99.74490962962962- 99.74002251851851- 99.06085629629631- 99.64575525925926- 99.04721066666667- 99.7262565925926- 99.62853214814815- 99.72728237037036- 99.6478091851852- 99.07493037037037- 99.71747496296297- 98.99106192592592- 99.65901333333332- 99.63992888888889- 99.69553185185185- 99.58292444444443- 99.64253037037037- 99.75572562962964- 99.07517037037037- 99.56026074074073- 99.68356740740741- 99.82672118518519- 98.9372551111111- 99.73547674074074- 99.7691354074074- 99.00595555555557- 98.97810074074074- 99.7686157037037- 99.70526281481482- 98.97308740740742- 99.67378370370372- 99.04038518518519- 99.05657303703704- 98.87597807407407- 99.69507081481481- 99.75128533333333- 99.74806696296297- 99.74360592592592- 99.76277866666668- 99.71892622222222- 99.63000770370371- 98.99524029629629- 98.93071407407407- 99.63306844444445- 99.66477866666665- 99.62530962962963- 99.7185445925926- 99.73053925925925- 98.95781451851852- 99.7232242962963- 99.63348622222223- 99.03534814814815- 99.08474074074073- 99.64696414814814- 99.66583703703704- 99.69935525925926- 99.03671111111112- 99.68363674074074- 99.63377481481483- 99.52176- 98.99534518518517- 99.01066666666665- 99.00254518518518- 99.65597333333332- 99.67431822222224- 99.61293748148148- 99.65640888888889- 98.93261392592592- 99.57847407407408- 99.01425185185185- 99.01277037037038- 99.70720118518518- 99.71862814814816- 99.05336296296296- 99.68993066666667- 98.97022222222222- 99.6484877037037- 99.90689726445954- 99.90351917754053- 99.93745551601424- 99.90101818900752- 99.90943779431322- 99.9231909845789- 99.92876631079478- 99.91698030123297- 99.88049264890903- 99.92032423882958- 99.89978656673496- 99.89679715302492- 99.92394900966964- 99.87084142133075- 99.92880585211546- 99.8908228189367- 99.92343811783313- 99.91417556346381- 99.9231909845789- 99.85105143966354- 99.90907158776376- 99.78994212588519- 99.91583360293325- 99.90466587584025- 99.91273634925771- 99.91011628742946- 99.92315144325819- 99.92372479240805- 99.92991300909452- 99.9206109134045- 99.9152598044502- 99.91642941874258- 99.92315144325819- 99.91046541931775- 99.92474657608109- 99.90187596606636- 99.92007710557533- 99.92175761170424- 99.93356069592724- 99.92368525108739- 99.91329262374636- 99.91249505733491- 99.89533052949422- 99.91804746755814- 99.92173469571158- 99.91327015708688- 99.91612027750818- 99.91944129911212- 99.9197904310004- 99.9076952802042- 99.88825937309034- 99.91419263812502- 99.91179679355837- 99.91757611704232- 99.93052589956504- 99.91769833566987- 99.92534284122362- 99.92876631079478- 99.92206136094038- 99.9307334914986],[]
CLOUD_ONLY,ROUND_ROBIN,100,1302.0397,0.75,267.8,0.1543,7000,1578,0,252,0,5170,0,1408,1214,352,301,5240,63,6439.206666666629,3230.6346666666636,6439.206666666629,34337.14999999879,0.0,0.0,197.73369361176321,1.3291,7.0125,9.1933,1.1033,8.107,0.0795,0.6257,0.6257,0.1655,0.1655,7.3158,0.0732,0,33.6392,99.577,-1.0,[99.75134874074074- 99.7251277037037- 99.80686755555554- 99.81058844444443- 99.68975762962961- 98.83688592592593- 99.61044562962962- 98.79409777777778- 99.65761362962962- 98.87131555555555- 98.84571555555556- 99.71508918518518- 99.67178962962963- 98.8102885925926- 98.81306074074072- 99.66252444444444- 98.75187259259259- 98.68130548148147- 99.7670797037037- 98.7906874074074- 99.78479822222222- 99.64439762962962- 98.93890074074073- 98.88008888888888- 99.65477511111109- 99.61045807407407- 99.66918281481482- 98.79372562962962- 99.63706725925925- 99.70091614814815- 99.92533610122577- 99.9443950177936- 99.94021352313167- 99.92613411697042- 99.92246935547648- 99.89919569359071- 99.9219355476473- 99.93205812574139- 99.91607354685647- 99.90649106725618- 99.92590945037564- 99.94328786081455- 99.93910636615264- 99.9345591142744- 99.89182123728386- 99.92927046263345- 99.88595923649305- 99.92355359646285- 99.92279557137209- 99.94078687228154],[]
CLOUD_ONLY,ROUND_ROBIN,200,1479.2066,0.7352,306.44,0.1523,14000,1827,0,282,0,11891,0,1600,1410,400,325,12000,92,10448.29733333403,4727.538666666645,10448.29733333403,57479.10000000515,0.0,0.0,232.52122328080256,0.8974,6.5417,8.9625,0.7832,13.4111,0.0664,0.5696,0.5696,0.1584,0.1584,12.6831,0.0634,0,33.6574,99.6702,-1.0,[99.69454814814814- 99.8339845925926- 99.11519940740742- 98.75742222222222- 99.53437274074074- 99.77598814814814- 99.75993244444443- 99.5460325925926- 99.72829037037036- 99.6837037037037- 99.83658311111111- 98.9991111111111- 99.79281777777777- 99.81729718518518- 99.78897185185185- 99.88775111111111- 99.78001955555555- 99.64731792592593- 99.55938962962962- 99.83502222222222- 99.55496296296295- 98.9969748148148- 99.79184651851853- 99.62439703703704- 99.81527762962963- 99.66017125925926- 99.73738666666665- 99.70620444444444- 99.67399762962962- 99.17623703703705- 99.69453629629629- 99.68925037037037- 99.7340622222222- 98.72349333333332- 99.66661925925925- 99.84837866666668- 99.55115555555555- 98.88705185185187- 99.77878518518517- 99.66774518518518- 98.61803614814814- 99.05887407407405- 98.99896296296295- 99.69688888888889- 98.94794074074075- 98.87262814814814- 99.74899496296297- 99.69549333333333- 99.3055922962963- 99.21034074074073- 99.75714370370369- 99.66158814814816- 99.64038518518518- 99.62835140740741- 99.62926814814814- 99.1272568888889- 99.69783822222222- 98.95759703703703- 98.47935407407408- 99.80243851851851- 99.9246737841044- 99.86985783097883- 99.90114669829971- 99.94348556741795- 99.98271055753263- 99.8733194938711- 99.94516607354686- 99.96426453143535- 99.93082245947015- 99.90496243574535- 99.96803084223014- 99.93332344800318- 99.91701265322263- 99.92534239189042- 99.89569988137603- 99.93526816204752- 99.89764414608722- 99.9520336820159- 99.92678609942844- 99.9459074733096- 99.93742586002372- 99.88483590351917- 99.93364966389878- 99.91004349545275- 99.95078094108345- 99.94652036378015- 99.90914393040728- 99.90578291814946- 99.92910241202055- 99.92684855674179- 99.93823645709767- 99.94713325425069- 99.86422499011466- 99.91418544879399- 99.95622775800712- 99.92763578848988- 99.96422499011469- 99.91631079478054- 99.97590945037564- 99.95426057730329],[]
